City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,ardino,41.5833,25.1333,-1.63,93,99,0.33,BG,1675044120
331,machali,-34.1833,-70.6667,20.99,43,0,0.15,CL,1675044121
332,saint-pierre,-21.3393,55.4781,25.82,73,0,1.54,RE,1675044121
333,marzuq,14.4,46.4667,12.77,61,17,0.42,YE,1675044122
334,kawalu,-7.3817,108.2082,27.05,69,98,0.56,ID,1675044123
335,edendale,-29.6528,30.3147,13.52,96,100,0.5,ZA,1675044125
336,bintulu,3.1667,113.0333,25.12,92,99,2.39,MY,1675044126
337,lisburn,54.5234,-6.0353,6.12,80,20,6.69,GB,1675044127
338,hithadhoo,-0.6,73.0833,27.33,74,100,4.09,MV,1675044129
339,bonavista,48.6499,-53.1147,-4.74,63,46,7.72,CA,1675044130
340,marawi,7.9986,124.2928,24.97,76,99,1.75,PH,1675044131
341,la huacana,18.9667,-101.8167,24.2,38,0,1.51,MX,1675044131
342,komsomolskiy,40.4272,71.7189,-1.6,80,100,0.0,UZ,1675044132
343,okato,-39.2,173.8833,19.82,81,100,4.38,NZ,1675044133
344,whitehorse,60.7161,-135.0538,-8.44,73,100,6.71,CA,1675043850
345,progreso,21.2833,-89.6667,26.73,81,2,3.9,MX,1675044135
346,vestmanna,62.1564,-7.1664,0.51,80,75,14.92,FO,1675044135
347,kraskino,42.7114,130.7794,-9.3,62,5,3.64,RU,1675044137
348,kalamare,-22.9337,26.5703,19.7,80,96,9.89,BW,1675044139
349,asfi,32.2994,-9.2372,9.3,68,0,4.37,MA,1675044143
350,bandar,2.05,99.75,24.98,91,100,1.41,ID,1675044144
351,mont-dore,-22.2833,166.5833,28.99,74,61,3.86,NC,1675044144
352,alice springs,-23.7,133.8833,24.75,88,100,3.09,AU,1675044148
353,outlook,51.5001,-107.0513,-22.38,90,87,4.3,CA,1675044085
354,luderitz,-26.6481,15.1594,14.4,92,0,3.57,NA,1675043995
355,kaspiysk,42.8816,47.6392,3.1,100,100,3.13,RU,1675044149
356,opuwo,-18.0607,13.84,20.51,53,84,1.57,NA,1675044151
357,north battleford,52.7834,-108.2847,-23.11,91,100,3.55,CA,1675044151
358,saldanha,-33.0117,17.9442,16.88,69,0,3.43,ZA,1675044152
359,greymouth,-42.4667,171.2,22.98,78,68,4.29,NZ,1675044147
360,taonan,45.3333,122.7833,-9.24,47,10,2.31,CN,1675044154
361,saint-augustin,51.226,-58.6502,-19.55,82,100,2.77,CA,1675044154
362,lingao,19.9103,109.6859,16.28,49,6,3.61,CN,1675044155
